video_id,file_name,dialect,gloss,top1,top5,closest_train_clip,closest_train_diff,dup_in_train
1096,W00497B.mp4,B,cháu nội,0,0,W00497T.mp4,16.883,0
1120,W00516T.mp4,T,châm cứu,0,0,W00516N.mp4,17.796,0
1194,W00620N.mp4,N,chính xác,1,1,W00620T.mp4,0.209,1
1226,W00655B.mp4,B,chùa,0,0,W00655T.mp4,16.725,0
3934,W00663T.mp4,T,chúc mừng,1,1,W00663N.mp4,0.237,1
1239,W00665N.mp4,N,chúc thọ,1,1,W00665T.mp4,0.168,1
1235,W00664B.mp4,B,chúc tết,0,0,W00664T.mp4,18.12,0
1108,W00508T.mp4,T,chăm sóc sức khỏe,0,0,W00508N.mp4,18.788,0
3910,W00509N.mp4,N,chăn (cái chăn),1,1,W00509T.mp4,0.178,1
1111,W00510B.mp4,B,chăn nuôi,0,0,W00510T.mp4,17.311,0
1082,W00484T.mp4,T,chả cá,1,1,W00484B.mp4,0.275,1
1089,W00493N.mp4,N,chảo,1,1,W00493T.mp4,0.27,1
1115,W00513B.mp4,B,chặt,0,0,W00513T.mp4,14.253,0
3920,W00570T.mp4,T,chị,0,1,W00570B.mp4,0.251,1
188,D0144N.mp4,N,"chị hai, chị cả",1,1,D0144B.mp4,5.063,0
199,D0152B.mp4,B,chị họ,1,1,D0152T.mp4,0.263,1
1205,W00633T.mp4,T,chống đối,1,1,W00633B.mp4,0.222,1
1219,W00649N.mp4,N,chủ tịch,1,1,W00649T.mp4,0.293,1
1274,W00708B.mp4,B,chữa bài,1,1,W00708T.mp4,0.247,1
1296,W00734T.mp4,T,con bê,0,0,W00734B.mp4,17.606,0
3943,W00735N.mp4,N,con bò,1,1,W00735T.mp4,0.24,1
1308,W00742B.mp4,B,con chuột,0,0,W00742T.mp4,20.177,0
1305,W00739T.mp4,T,con chó,1,1,W00739N.mp4,0.257,1
1300,W00737N.mp4,N,con cá,0,0,W00737T.mp4,19.502,0
1314,W00747B.mp4,B,con cọp,0,0,W00747T.mp4,17.297,0
3945,W00768T.mp4,T,con kiến,0,1,W00768B.mp4,0.247,1
1340,W00770N.mp4,N,con lợn (con heo),0,0,W00770T.mp4,15.26,0
1346,W00773B.mp4,B,con muỗi,1,1,W00773T.mp4,0.23,1
1345,W00772T.mp4,T,con mèo,1,1,W00772N.mp4,0.26,1
1352,W00777N.mp4,N,con người,0,0,W00777T.mp4,18.905,0
1353,W00778B.mp4,B,con ngựa,0,0,W00778T.mp4,19.488,0
1359,W00780T.mp4,T,con nuôi,0,0,W00780N.mp4,12.919,0
3952,W00797N.mp4,N,con tôm,1,1,W00797T.mp4,0.269,1
1381,W00803B.mp4,B,con voi,1,1,W00803T.mp4,0.256,1
1328,W00758T.mp4,T,con ếch,0,0,W00758N.mp4,18.026,0
245,D0182N.mp4,N,cung điện,1,1,D0182T.mp4,7.057,0
1001,W00398B.mp4,B,cá kho,0,0,W00398T.mp4,19.603,0
1008,W00404T.mp4,T,cái gương,1,1,W00404N.mp4,0.197,1
1046,W00444N.mp4,N,câu thơ,1,1,W00444T.mp4,0.269,1
1061,W00459B.mp4,B,cây cổ thụ,0,0,W00459T.mp4,15.748,0
1067,W00469T.mp4,T,cây ngô,1,1,W00469N.mp4,0.252,1
1069,W00470N.mp4,N,cây phượng,1,1,W00470T.mp4,0.271,1
1072,W00474B.mp4,B,cây thân gỗ,0,0,W00474T.mp4,16.914,0
3606,W03945T.mp4,T,cây xanh tươi,1,1,W03945N.mp4,0.245,1
1057,W00456N.mp4,N,cây ăn quả,1,1,W00456T.mp4,0.245,1
1390,W00812B.mp4,B,cô giáo,1,1,W00812T.mp4,0.232,1
383,D0307T.mp4,T,công nghiệp,1,1,D0307N.mp4,0.262,1
1422,W00850N.mp4,N,công viên,1,1,W00850T.mp4,0.246,1
1439,W00868B.mp4,B,cơ hội,0,0,W00868T.mp4,15.175,0
3966,W00885T.mp4,T,cơm bình dân,0,0,W00885B.mp4,14.131,0
1484,W00943N.mp4,N,cướp,1,1,W00943T.mp4,0.28,1
3729,D0122B.mp4,B,cần không?,0,0,D0122T.mp4,10.579,0
3881,W00357T.mp4,T,cỏ,0,0,W00357N.mp4,0.216,1
1398,W00820N.mp4,N,cố gắng,1,1,W00820T.mp4,0.241,1
1428,W00857B.mp4,B,cộng (toán học),1,1,W00857T.mp4,0.245,1
1436,W00863T.mp4,T,cột điện,1,1,W00863N.mp4,0.235,1
3975,W00935N.mp4,N,cửa hàng,0,0,W00935T.mp4,14.325,0
3777,D0347B.mp4,B,da ngăm (nước da ngăm đen),0,0,D0347T.mp4,13.295,0
424,D0346T.mp4,T,da trắng,1,1,D0346N.mp4,0.252,1
1557,W01032N.mp4,N,di truyền,0,0,W01032B.mp4,12.551,0
3751,D0209B.mp4,B,dám làm,1,1,D0209T.mp4,0.213,1
1520,W00988T.mp4,T,dân tộc,1,1,W00988N.mp4,0.281,1
1522,W00989N.mp4,N,dân tộc thiểu số,1,1,W00989T.mp4,0.212,1
1543,W01016B.mp4,B,dây điện,0,0,W01016T.mp4,15.063,0
1549,W01022T.mp4,T,dép quai hậu,0,1,W01022B.mp4,0.25,1
607,D0524N.mp4,N,dấu huyền,0,0,D0524B.mp4,19.357,0
611,D0526B.mp4,B,dấu hỏi,0,0,D0526T.mp4,20.201,0
615,D0527T.mp4,T,dấu ngã,1,1,D0527N.mp4,0.278,1
609,D0525N.mp4,N,dấu sắc,0,0,D0525B.mp4,20.245,0
1559,W01033B.mp4,B,dịch vụ,0,0,W01033T.mp4,14.733,0
3764,D0271T.mp4,T,dỗi,0,1,D0271N.mp4,0.238,1
1778,W01348N.mp4,N,e thẹn,0,0,W01348T.mp4,13.225,0
3737,D0153B.mp4,B,em họ,0,1,D0153T.mp4,10.116,0
1783,W01351T.mp4,T,em rể,0,0,W01351N.mp4,15.606,0
4025,W01352N.mp4,N,em trai,0,1,W01352T.mp4,0.227,1
1790,W01364B.mp4,B,ga tàu,0,0,W01364T.mp4,16.8,0
22,D0019T.mp4,T,ghen tị,1,1,D0019N.mp4,0.223,1
1858,W01453N.mp4,N,giao tiếp,1,1,W01453T.mp4,0.241,1
1839,W01433B.mp4,B,giá trị,0,0,W01433T.mp4,16.907,0
1844,W01434T.mp4,T,giá trị phần trăm,1,1,W01434N.mp4,0.225,1
4036,W01447N.mp4,N,gián tiếp,1,1,W01447T.mp4,0.258,1
1889,W01497B.mp4,B,giúp đỡ,0,0,W01497T.mp4,17.088,0
4041,W01470T.mp4,T,giấy,0,1,W01470N.mp4,0.259,1
1873,W01472N.mp4,N,giấy màu,0,1,W01472T.mp4,0.213,1
1875,W01473B.mp4,B,giấy nháp,0,0,W01473T.mp4,16.405,0
1871,W01471T.mp4,T,giấy ăn,0,1,W01471N.mp4,0.235,1
1803,W01384N.mp4,N,gạo,1,1,W01384T.mp4,0.256,1
4031,W01403B.mp4,B,gầy (miền nam: ốm),0,0,W01403T.mp4,12.95,0
4049,W01516T.mp4,T,gỗ,0,0,W01516N.mp4,17.412,0
578,D0500N.mp4,N,h,1,1,D0500T.mp4,9.674,0
417,D0342B.mp4,B,ham chơi,0,1,D0342T.mp4,0.207,1
320,D0243T.mp4,T,hay là (hoặc là),1,1,D0243N.mp4,0.198,1
1959,W01583N.mp4,N,hi sinh,1,1,W01583B.mp4,14.455,0
4058,W01584B.mp4,B,hi vọng,1,1,W01584T.mp4,0.135,1
1966,W01591T.mp4,T,hiểu,0,1,W01591N.mp4,0.222,1
1983,W01619N.mp4,N,hoa,0,0,W01619B.mp4,11.56,0
1989,W01629B.mp4,B,hoa sen,0,0,W01629T.mp4,16.825,0
2003,W01655T.mp4,T,hoạt hình,0,0,W01655N.mp4,0.234,1
251,D0188N.mp4,N,hoặc,1,1,D0188T.mp4,0.214,1
2059,W01721B.mp4,B,huyện,0,0,W01721T.mp4,17.853,0
3745,D0170T.mp4,T,hàng ngày,0,1,D0170N.mp4,0.243,1
1933,W01557N.mp4,N,hành quân,0,0,W01557T.mp4,14.345,0
1947,W01576B.mp4,B,héc-tô-gam (hg),0,0,W01576T.mp4,13.703,0
1950,W01577T.mp4,T,héc-tô-mét (hm),1,1,W01577N.mp4,0.203,1
1951,W01578N.mp4,N,héc-tô-mét vuông (hm2),1,1,W01578T.mp4,0.213,1
3743,D0163B.mp4,B,hẹn,0,0,D0163T.mp4,7.169,0
1957,W01582T.mp4,T,hệ thống,1,1,W01582N.mp4,0.192,1
2023,W01677N.mp4,N,họp,0,0,W01677B.mp4,14.826,0
3798,D0452B.mp4,B,họp nhóm,0,1,D0452T.mp4,0.263,1
4066,W01672T.mp4,T,hỏi,1,1,W01672N.mp4,0.204,1
2019,W01675N.mp4,N,hỏng,0,0,W01675T.mp4,15.143,0
2034,W01692B.mp4,B,hối hận,0,0,W01692T.mp4,16.643,0
2033,W01690T.mp4,T,hồi hộp,1,1,W01690B.mp4,0.272,1
221,D0165N.mp4,N,hứa,1,1,D0165T.mp4,0.214,1
40,D0033B.mp4,B,không cho,0,0,D0033T.mp4,8.115,0
285,D0210T.mp4,T,không dám,0,1,D0210B.mp4,6.921,0
2142,W01840N.mp4,N,không hiểu,1,1,W01840T.mp4,0.188,1
256,D0190B.mp4,B,không muốn,0,0,D0190T.mp4,7.034,0
38,D0031T.mp4,T,không nghe lời,1,1,D0031N.mp4,0.244,1
45,D0035N.mp4,N,không nên,1,1,D0035T.mp4,5.022,0
146,D0109B.mp4,B,không quen,1,1,D0109T.mp4,0.26,1
174,D0129T.mp4,T,không đẹp,0,1,D0129N.mp4,0.233,1
2130,W01824N.mp4,N,khỏi bệnh,0,0,W01824T.mp4,10.689,0
2176,W01898B.mp4,B,kinh nghiệm,0,0,W01898T.mp4,15.492,0
2167,W01878T.mp4,T,kiểm tra,0,1,W01878N.mp4,0.221,1
2075,W01738N.mp4,N,kém,0,0,W01738T.mp4,16.578,0
2162,W01872B.mp4,B,kí tên,0,0,W01872T.mp4,14.417,0
2080,W01743T.mp4,T,kẹo,0,0,W01743N.mp4,0.149,1
2085,W01754N.mp4,N,kết quả,1,1,W01754T.mp4,0.252,1
2157,W01866B.mp4,B,kỉ niệm,0,0,W01866T.mp4,15.492,0
2244,W01996T.mp4,T,liên bang nga (nước nga),0,0,W01996N.mp4,16.193,0
2246,W01998N.mp4,N,liên hoan,0,0,W01998T.mp4,13.822,0
2249,W02000B.mp4,B,liên lạc,0,0,W02000T.mp4,18.344,0
2254,W02001T.mp4,T,liên quan,0,0,W02001N.mp4,0.25,1
353,D0272N.mp4,N,liếc nhìn,0,0,D0272T.mp4,10.462,0
2266,W02024B.mp4,B,loài vật,0,0,W02024T.mp4,12.164,0
26,D0020T.mp4,T,lung tung,0,1,D0020B.mp4,9.387,0
2289,W02064N.mp4,N,luật chơi,0,1,W02064T.mp4,14.778,0
2187,W01911B.mp4,B,là gì?,0,0,W01911T.mp4,14.619,0
2208,W01945T.mp4,T,lào (nước lào),1,1,W01945B.mp4,0.177,1
4091,W01920N.mp4,N,lái tàu hỏa,1,1,W01920T.mp4,0.254,1
2292,W02066B.mp4,B,lúc nào,0,0,W02066T.mp4,13.099,0
4099,W02012T.mp4,T,lĩnh vực,1,1,W02012N.mp4,0.244,1
2304,W02078N.mp4,N,lười,0,1,W02078T.mp4,0.228,1
2306,W02079B.mp4,B,lười học,0,0,W02079T.mp4,16.493,0
349,D0270T.mp4,T,lạnh lùng,1,1,D0270B.mp4,0.245,1
67,D0048N.mp4,N,lễ halloween 31/10,0,1,D0048B.mp4,14.812,0
4095,W01978B.mp4,B,lễ hội,1,1,W01978T.mp4,0.305,1
2234,W01982T.mp4,T,lễ hội hóa trang,0,1,W01982B.mp4,0.256,1
4096,W01979N.mp4,N,lễ nô-en,0,0,W01979T.mp4,14.641,0
2391,W02200B.mp4,B,mexico (nước mexico),0,0,W02200T.mp4,13.255,0
3696,D0005T.mp4,T,miến điện (nước mi-an-ma),1,1,D0005N.mp4,0.216,1
2407,W02221N.mp4,N,muốn,1,1,W02221T.mp4,0.262,1
253,D0189B.mp4,B,muốn không?,0,0,D0189T.mp4,7.547,0
2330,W02120T.mp4,T,màn,0,0,W02120N.mp4,16.133,0
2336,W02137N.mp4,N,màu nâu,0,1,W02137T.mp4,0.241,1
2339,W02140B.mp4,B,màu trắng,0,0,W02140T.mp4,14.497,0
2344,W02142T.mp4,T,màu xanh da trời,0,0,W02142N.mp4,8.777,0
2346,W02143N.mp4,N,màu xanh lá cây,0,0,W02143T.mp4,8.866,0
101,D0065B.mp4,B,mách,0,0,D0065T.mp4,7.093,0
2354,W02148T.mp4,T,máy in,1,1,W02148N.mp4,0.245,1
2374,W02178N.mp4,N,mâm ngũ quả,1,1,W02178T.mp4,0.214,1
298,D0223B.mp4,B,mã lai (nước ma-lai-xi-a),0,1,D0223T.mp4,8.678,0
2428,W02243T.mp4,T,môn kĩ thuật,1,1,W02243N.mp4,0.249,1
2430,W02244N.mp4,N,môn lịch sử,0,1,W02244T.mp4,0.242,1
2420,W02239B.mp4,B,môn đạo đức,1,1,W02239T.mp4,0.279,1
3689,W04066T.mp4,T,môn địa lý,1,1,W04066N.mp4,0.235,1
2454,W02270N.mp4,N,mùa hè,0,0,W02270B.mp4,13.953,0
4125,W02272B.mp4,B,mùa xuân,0,0,W02272T.mp4,13.552,0
2381,W02187T.mp4,T,mật khẩu,0,0,W02187N.mp4,15.655,0
2365,W02164N.mp4,N,mắng,0,0,W02164B.mp4,11.683,0
229,D0169B.mp4,B,mỗi ngày,0,0,D0169T.mp4,12.675,0
484,D0410T.mp4,T,một tiếng,1,1,D0410N.mp4,0.26,1
2449,W02264N.mp4,N,mới,1,1,W02264T.mp4,0.922,1
117,D0080B.mp4,B,mỳ tôm,0,0,D0080T.mp4,10.337,0
3718,D0082T.mp4,T,mỳ ý,1,1,D0082N.mp4,0.121,1
2521,W02359N.mp4,N,nghi ngờ,1,1,W02359T.mp4,0.279,1
2536,W02373B.mp4,B,nghiêm khắc,0,0,W02373T.mp4,16.064,0
4139,W02354T.mp4,T,nghé,0,1,W02354N.mp4,0.281,1
2518,W02357N.mp4,N,nghệ thuật,0,0,W02357T.mp4,0.214,1
2523,W02360B.mp4,B,nghỉ hè,0,0,W02360T.mp4,13.829,0
2528,W02361T.mp4,T,nghỉ học,0,1,W02361B.mp4,0.271,1
2563,W02405N.mp4,N,nguy hiểm,0,1,W02405T.mp4,0.283,1
83,D0055B.mp4,B,ngày của cha,1,1,D0055T.mp4,0.275,1
82,D0054T.mp4,T,ngày của mẹ,1,1,D0054B.mp4,0.269,1
87,D0056N.mp4,N,ngày gia đình việt nam 28/6,0,1,D0056B.mp4,12.516,0
59,D0044B.mp4,B,ngày giải phóng miền nam 30/4,1,1,D0044T.mp4,0.206,1
58,D0043T.mp4,T,ngày giải phóng thủ đô 10/10,1,1,D0043B.mp4,0.281,1
75,D0051N.mp4,N,ngày giỗ tổ hùng vương (âm lịch 10/3),1,1,D0051B.mp4,8.615,0
2495,W02336B.mp4,B,ngày nay,0,0,W02336T.mp4,15.696,0
3706,D0052T.mp4,T,ngày ngôn ngữ kí hiệu quốc tế 23/9,1,1,D0052B.mp4,0.181,1
64,D0046N.mp4,N,ngày người khuyết tật thế giới 3/12,0,0,D0046T.mp4,10.73,0
61,D0045B.mp4,B,ngày người khuyết tật việt nam 18/4,0,0,D0045T.mp4,12.272,0
70,D0049T.mp4,T,ngày phụ nữ việt nam 20/10,0,1,D0049N.mp4,8.243,0
2499,W02337N.mp4,N,ngày quốc tế lao động,0,0,W02337B.mp4,14.931,0
54,D0042B.mp4,B,ngày quốc tế phụ nữ 8/3,1,1,D0042T.mp4,13.779,0
4135,W02338T.mp4,T,ngày sinh,0,0,W02338B.mp4,14.944,0
92,D0058N.mp4,N,ngày thành lập quân đội nhân dân việt nam,0,0,D0058B.mp4,10.281,0
2490,W02329B.mp4,B,ngày tháng,0,0,W02329T.mp4,15.88,0
73,D0050T.mp4,T,ngày thương bình liệt sĩ 27/7,1,1,D0050B.mp4,0.255,1
90,D0057N.mp4,N,ngày thầy thuốc việt nam,0,1,D0057T.mp4,0.265,1
2558,W02402B.mp4,B,ngũ quả,0,0,W02402T.mp4,16.096,0
2573,W02430T.mp4,T,người lái xe (ô tô),1,1,W02430N.mp4,0.188,1
2577,W02435N.mp4,N,người quen,1,1,W02435T.mp4,0.253,1
2581,W02438B.mp4,B,người xưa,0,0,W02438T.mp4,15.982,0
4153,W02437T.mp4,T,người xấu,1,1,W02437N.mp4,0.193,1
2585,W02439N.mp4,N,người yêu,0,0,W02439T.mp4,18.079,0
2550,W02394B.mp4,B,ngọn cây,0,0,W02394T.mp4,20.971,0
2556,W02400T.mp4,T,ngồi,0,1,W02400B.mp4,0.243,1
3203,W03327N.mp4,N,ngữ pháp,1,1,W03327T.mp4,0.204,1
4165,W02497B.mp4,B,nhiệt kế,1,1,W02497T.mp4,0.24,1
1585,W01075T.mp4,T,nhà nước,1,1,W01075N.mp4,0.18,1
2593,W02455N.mp4,N,nhà trường,1,1,W02455T.mp4,0.195,1
548,D0470B.mp4,B,nhà văn hóa,0,0,D0470T.mp4,10.012,0
2608,W02473T.mp4,T,nhân (toán học),1,1,W02473N.mp4,0.298,1
2612,W02479N.mp4,N,nhân hậu,0,1,W02479T.mp4,0.288,1
2595,W02461B.mp4,B,nhãn vở,0,0,W02461T.mp4,14.36,0
317,D0242T.mp4,T,nhưng,0,1,D0242B.mp4,0.163,1
96,D0060N.mp4,N,nhầm,1,1,D0060T.mp4,0.241,1
1720,W01259B.mp4,B,nhập ngũ,0,0,W01259T.mp4,17.716,0
2620,W02490T.mp4,T,nhập trường,1,1,W02490N.mp4,0.237,1
2622,W02492N.mp4,N,nhật (nước nhật),0,0,W02492T.mp4,14.918,0
2643,W02520B.mp4,B,no,0,0,W02520T.mp4,16.406,0
166,D0123T.mp4,T,nên không?,1,1,D0123N.mp4,0.238,1
2672,W02555N.mp4,N,nước việt nam,1,1,W02555T.mp4,0.256,1
469,D0396B.mp4,B,nước ép trái cây,0,0,D0396T.mp4,10.844,0
2472,W02292T.mp4,T,nạp điện,1,1,W02292N.mp4,0.237,1
2662,W02540N.mp4,N,nội dung,1,1,W02540T.mp4,0.15,1
3810,D0509B.mp4,B,p,0,0,D0509T.mp4,19.568,0
2741,W02654T.mp4,T,phi-líp-pin (nước phi-líp-pin),0,1,W02654B.mp4,0.223,1
2743,W02656N.mp4,N,phim hoạt hình,0,0,W02656B.mp4,15.035,0
2746,W02658B.mp4,B,phim truyện,1,1,W02658T.mp4,0.221,1
2738,W02651T.mp4,T,phiên dịch,1,1,W02651B.mp4,0.261,1
4174,W02589N.mp4,N,phá,1,1,W02589T.mp4,0.209,1
289,D0214B.mp4,B,phó hiệu trưởng,0,0,D0214T.mp4,7.898,0
2788,W02716T.mp4,T,phương tiện giao thông,1,1,W02716B.mp4,0.431,1
160,D0120N.mp4,N,phải không?,0,1,D0120T.mp4,5.148,0
2706,W02597B.mp4,B,phản bội,0,0,W02597T.mp4,17.633,0
2726,W02630T.mp4,T,phấn (viết bảng),0,1,W02630B.mp4,0.247,1
2769,W02696N.mp4,N,phở,0,1,W02696T.mp4,0.211,1
2771,W02697B.mp4,B,phở cuốn,0,0,W02697T.mp4,14.296,0
4202,W02820T.mp4,T,quyết tâm,1,1,W02820N.mp4,0.262,1
2877,W02814N.mp4,N,quyết định,0,0,W02814B.mp4,17.915,0
2873,W02813B.mp4,B,quyền lợi,1,1,W02813T.mp4,0.222,1
2881,W02818T.mp4,T,quyển vở,1,1,W02818N.mp4,0.296,1
4195,W02797N.mp4,N,quê,1,1,W02797T.mp4,0.234,1
2792,W02724B.mp4,B,quả bưởi,0,0,W02724T.mp4,17.541,0
2800,W02731T.mp4,T,quả dưa hấu,0,1,W02731B.mp4,0.255,1
2802,W02732N.mp4,N,quả dừa,1,1,W02732T.mp4,0.134,1
2804,W02733B.mp4,B,quả dừa xiêm,0,0,W02733T.mp4,14.848,0
4184,W02742T.mp4,T,quả khế,0,1,W02742N.mp4,0.276,1
2821,W02748N.mp4,N,quả nhãn,1,1,W02748T.mp4,0.275,1
4186,W02754B.mp4,B,quả roi,0,0,W02754T.mp4,19.196,0
2811,W02737T.mp4,T,quả đu đủ,1,1,W02737B.mp4,16.583,0
2856,W02787N.mp4,N,quần bò,0,1,W02787T.mp4,0.273,1
2859,W02790B.mp4,B,quận,0,0,W02790T.mp4,16.786,0
2884,W02825T.mp4,T,ra ngoài,1,1,W02825N.mp4,0.131,1
2915,W02868N.mp4,N,rong chơi,0,0,W02868B.mp4,20.504,0
2934,W02897B.mp4,B,rưỡi,1,1,W02897T.mp4,0.197,1
4215,W02898T.mp4,T,rượu,1,1,W02898N.mp4,0.246,1
2894,W02847N.mp4,N,rằm trung thu,1,1,W02847T.mp4,0.271,1
2981,W02956B.mp4,B,sinh sản,0,0,W02956T.mp4,19.794,0
500,D0423T.mp4,T,sinh đôi,1,1,D0423B.mp4,0.262,1
2978,W02953N.mp4,N,sinh đẻ,1,1,W02953T.mp4,0.286,1
3713,D0072B.mp4,B,suýt,0,1,D0072T.mp4,10.592,0
4221,W02940T.mp4,T,sân trường,1,1,W02940N.mp4,0.185,1
3004,W03011N.mp4,N,sơ mi,0,0,W03011T.mp4,17.096,0
2953,W02931B.mp4,B,sắp xếp,0,0,W02931T.mp4,17.818,0
2958,W02932T.mp4,T,sắt,0,0,W02932B.mp4,13.269,0
3739,D0155N.mp4,N,sống sót,0,0,D0155B.mp4,8.433,0
3027,W03042B.mp4,B,sữa,1,1,W03042T.mp4,0.243,1
3017,W03036T.mp4,T,sữa bò,1,1,W03036N.mp4,0.15,1
3019,W03037N.mp4,N,sữa bột,1,1,W03037T.mp4,0.266,1
3021,W03038B.mp4,B,sữa dê,0,1,W03038T.mp4,19.601,0
3025,W03040T.mp4,T,sữa hộp,1,1,W03040B.mp4,0.273,1
594,D0513N.mp4,N,t,0,1,D0513T.mp4,12.204,0
3794,D0432B.mp4,B,tay chân sạch sẽ,1,1,D0432T.mp4,0.256,1
3080,W03138T.mp4,T,tha thứ,0,0,W03138B.mp4,16.013,0
3089,W03153N.mp4,N,tham dự,1,1,W03153T.mp4,0.159,1
3092,W03156B.mp4,B,tham quan,0,0,W03156T.mp4,17.503,0
30,D0024T.mp4,T,tham ăn,1,1,D0024N.mp4,0.267,1
4267,W03243N.mp4,N,thi cử,0,0,W03243T.mp4,17.242,0
4269,W03265B.mp4,B,thiết kế,1,1,W03265T.mp4,0.244,1
278,D0206T.mp4,T,thiếu thốn,1,1,D0206N.mp4,0.281,1
